"","title","movieInfo","point","review"
"100","시간의 끝에서 널 기다려","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=197640&target=after","10","남녀 주인공 비주얼 최고고 연기도요 기대했던것보다 훨씬 좋았어요 영화로만 볼수있는 사랑이예요 감동했어요 ㅠㅠ 그냥 따뜻했습니다 남자 배우 연기가 집중력있게 만들었어요 "
"101","아틱","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=175039&target=after","6","베어 그릴스 : 저걸 못해? "
"102","가위손","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=10936&target=after","10","팀 버튼의 매력을 정말 잘 담아낸 영화. 기괴함, 판타지, 동심(..?)의 합이 재밌었고 무엇보다 쨍한 색감이 이쁨. 옛날 영화 특징 중 하나인 특유의 느린 전개가 적어서 좋았다 "
"103","삼진그룹 영어토익반","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189141&target=after","7","오지랍퍼와 추리소설매니아와 수학영재의 조합. 딱 킬링타임용 영화. 캐릭터들은 좋았는데 이야기진행이 식상함. "
"104","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196051&target=after","10","귀멸의칼날 애니를 안보고 줄거리만 대충 아는 상태에서 봤는데도 지립니다 꼭 보세요 "
"105","세인트 빈센트","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=118367&target=after","9","따뜻하고 능청스럽고 살갑네 "
"106","소울","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184517&target=after","10","만약 영화관에서 보지않았음 후회할뻔했다. 내용을 떠나 우주에 떠있는기분으로 평화로움을 주었다. 힘들때 또 봐야지... "
"107","소울","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184517&target=after","8","인사이드아웃과는 다르게 너무가르치려고 드는 말투가 살짝 걸렸다.아이들이 그런 부분들은 지루해할듯.길잃은 어른들을 위한 영화같다.티엠아이: 제리가 최애 "
"108","빛과 철","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=194084&target=after","6","나쁘지 않은 정도... 뚝심은 있지만 메시지가 평범하고, 다소 설정이 작위적이다. "
"109","레전드","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=129012&target=after","10","인생영화리스트 갱신?? "
"110","승리호","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=186342&target=after","10","한국형 신파와 SF의 만남, 신선한 콜라보라 색채를 잃지 않아보여서 더 볼만했음 "
"111","극장판 포켓몬스터 베스트위시 : 신의 속도 게노세크트, 뮤츠의 각성","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=109466&target=after","10",""
"112","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196051&target=after","8","잘만든 씹덕액션애니 라고합니다. "
"113","새해전야","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=190382&target=after","10","엄청 큰 기대는 안했는데 기대 이상으로 재밌었고 각 커플들의 케미가 좋아서 편하게 볼 수 있었어요 보고나서 여행가고 싶다는 생각이 들었네요 ´ ▽ ` "
"114","미션 파서블","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189124&target=after","8"," 영등포롯시] 나름 재밌게 잘 봤다. 코믹장르기에 만화같은 설정은 어쩔 수 없고, 스토리도 뒤로 갈 수록 억지스러운 면이 있긴 했다. 그러나 가벼운 마음이라면 충분히 재밌게 볼 수 있는 영화였다. 후속편이 나온다면 뭔가 중국시장을 염두에 둔 거 같은 복선도 느껴졌다. '우수한'이란 남자 주인공 이름과 유머러스한 행동, 식탐많은 캐릭터에선 과거 일본 만화 '씨티헌터'의 해적판 주인공이 연상되기도 했다. "
"115","인터스텔라","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=45290&target=after","10","여러모로 최고. 뭐가 더 필요한가 싶다. 재밌다. "
"116","뮬란","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=167491&target=after","10","뮬란이란 디즈니영화가 안나왔으면 확실히 뜰 영화임 근데 뮬란스토리가 디즈니뮬란영화랑 비슷하진 않음 하지만 매우 재밌있고 인상깊었음 "
"117","인터스텔라","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=45290&target=after","10","다시 없을 인생영화. 볼 때 마다 가슴이 벅차다 "
